Team,Conf,Act W %,Pyth,Pyth Rank,Adj O,Rk,Adj D,Rk,Opp Adj O,Rk,Opp Adj D,Rk,Opp Pyth,Opp Pyth Rank
Bowling Green,MAC,0.6154,0.4442,67,1.55,105,1.71,14,1.87,124,2.61,100,0.3132,123
Rice,C-USA,0.5385,0.4251,68,2.26,59,2.57,69,2.13,88,2.79,119,0.3455,116
Washington,Pac 12,0.5385,0.4198,69,1.96,81,2.25,46,2.35,27,2.24,35,0.5279,33
Western Kentucky,Sun Belt,0.5385,0.4190,70,2.20,66,2.53,66,2.14,84,2.60,98,0.3877,94
Troy,Sun Belt,0.4167,0.4020,71,2.22,63,2.62,75,2.05,108,2.63,103,0.3556,112
Ohio,MAC,0.6923,0.3975,72,2.01,77,2.40,60,1.96,121,2.80,121,0.2998,124
Connecticut,BE,0.4167,0.3914,73,1.58,103,1.91,25,2.01,115,2.45,73,0.3837,96
Navy,Indy,0.6154,0.3898,74,2.21,64,2.67,83,2.21,65,2.57,90,0.4133,80
Duke,ACC,0.4615,0.3721,75,2.38,49,2.97,99,2.26,51,2.21,27,0.5112,41
Marshall,C-USA,0.4167,0.3615,76,2.85,16,3.62,123,2.14,86,2.67,112,0.3700,105
Minnesota,Big 10,0.4615,0.3543,77,1.83,87,2.36,55,2.15,83,2.33,50,0.4521,64
Purdue,Big 10,0.4615,0.3529,78,2.01,78,2.60,72,2.23,63,2.33,51,0.4734,54
Arkansas,SEC,0.3333,0.3457,79,1.82,88,2.39,59,2.37,25,1.99,3,0.6007,4
East Carolina,C-USA,0.6154,0.3357,80,2.23,62,2.97,98,2.20,71,2.70,114,0.3790,100
Indiana,Big 10,0.3333,0.3301,81,2.25,61,3.04,103,2.03,111,2.31,47,0.4241,75
Western Michigan,MAC,0.3333,0.3277,82,1.95,82,2.65,79,1.90,123,2.57,92,0.3269,122
Temple,BE,0.3636,0.3188,83,2.09,72,2.88,92,2.05,107,2.24,33,0.4479,65
Air Force,MWC,0.4615,0.3154,84,2.19,68,3.03,102,2.16,77,2.80,120,0.3497,114
Iowa,Big 10,0.3333,0.3151,85,1.51,108,2.10,40,2.26,47,2.22,30,0.5107,42
South Florida,BE,0.2500,0.3150,86,1.91,84,2.65,80,2.39,21,2.31,49,0.5197,40
Houston,AAC,0.4167,0.3071,87,1.87,86,2.64,78,2.23,61,2.74,117,0.3809,98
Middle Tennessee,C-USA,0.6667,0.3062,88,2.17,70,3.06,105,2.09,101,2.59,96,0.3760,101
New Mexico,MWC,0.3077,0.3023,89,2.19,67,3.12,113,2.18,75,2.85,123,0.3464,115
Central Michigan,MAC,0.5385,0.2820,90,2.06,74,3.06,106,1.96,122,2.61,101,0.3347,119
UTSA,C-USA,0.6000,0.2818,91,2.20,65,3.27,117,2.03,112,2.74,118,0.3292,121
Florida International,C-USA,0.2500,0.2778,92,1.75,94,2.62,76,2.29,41,2.67,111,0.4100,82
Virginia,ACC,0.3333,0.2732,93,1.68,96,2.53,67,2.29,42,2.36,54,0.4802,52
California,Pac 12,0.2500,0.2711,94,1.77,92,2.69,85,2.53,11,2.15,19,0.5943,6
Texas State,Sun Belt,0.3333,0.2700,95,2.05,76,3.12,114,2.29,40,2.85,124,0.3730,104
Maryland,ACC,0.3333,0.2664,96,1.57,104,2.40,62,2.25,52,2.37,55,0.4710,56
UAB,C-USA,0.2500,0.2537,97,1.98,80,3.11,112,2.20,67,2.61,99,0.4011,88
Memphis,AAC,0.3333,0.2473,98,1.82,89,2.90,93,2.26,50,2.83,122,0.3683,107
UTEP,C-USA,0.2500,0.2434,99,1.66,99,2.67,84,2.15,81,2.52,84,0.4068,84
Auburn,SEC,0.2500,0.2386,100,1.46,112,2.38,58,2.50,13,2.11,14,0.5993,5
Buffalo,MAC,0.3333,0.2315,101,1.47,110,2.45,63,2.08,102,2.36,53,0.4260,74
Wyoming,MWC,0.3333,0.2281,102,1.95,83,3.27,116,2.20,70,2.65,109,0.3904,93
Army,Indy,0.1667,0.2221,103,1.89,85,3.20,115,2.08,105,2.50,82,0.3910,92
Boston College,ACC,0.1667,0.2165,104,1.54,106,2.66,82,2.28,43,2.20,24,0.5206,39
UNLV,MWC,0.1538,0.2120,105,1.67,98,2.90,94,2.20,69,2.73,116,0.3757,102
Miami (Ohio),MAC,0.3333,0.2068,106,1.76,93,3.11,111,2.06,106,2.43,68,0.4028,86
North Texas,C-USA,0.3333,0.2045,107,1.52,107,2.70,86,2.26,49,2.49,81,0.4412,67
Wake Forest,ACC,0.4167,0.1901,108,1.41,118,2.59,71,2.20,68,2.22,31,0.4940,48
Washington State,Pac 12,0.2500,0.1867,109,1.59,102,2.96,96,2.24,56,2.21,28,0.5065,43
Akron,MAC,0.0833,0.1825,110,1.63,100,3.07,107,2.12,94,2.52,86,0.3973,89
Florida Atlantic,C-USA,0.2500,0.1795,111,1.50,109,2.86,90,2.26,46,2.43,67,0.4595,59
Kentucky,SEC,0.1667,0.1724,112,1.47,111,2.86,89,2.31,34,2.10,11,0.5578,18
Colorado State,MWC,0.3333,0.1611,113,1.43,117,2.87,91,2.12,92,2.63,104,0.3745,103
Tulane,C-USA,0.1667,0.1559,114,1.45,113,2.96,97,2.08,104,2.48,78,0.3967,90
Southern Mississippi,C-USA,0.0000,0.1528,115,1.60,101,3.30,119,2.32,33,2.59,97,0.4332,70
South Alabama,Sun Belt,0.1538,0.1466,116,1.23,122,2.58,70,2.10,99,2.72,115,0.3513,113
Hawai'i,MWC,0.2500,0.1437,117,1.43,116,3.04,104,2.18,74,2.52,85,0.4153,78
Kansas,Big 12,0.0833,0.1408,118,1.44,114,3.09,108,2.77,1,2.38,59,0.5897,8
Illinois,Big 10,0.1667,0.1344,119,1.24,121,2.72,87,2.46,17,2.34,52,0.5290,31
Eastern Michigan,MAC,0.1667,0.1240,120,1.44,115,3.29,118,2.12,91,2.40,63,0.4270,73
New Mexico State,Indy,0.0833,0.0929,121,1.36,120,3.56,121,2.11,98,2.64,105,0.3694,106
Colorado,Pac 12,0.0833,0.0807,122,1.37,119,3.83,124,2.34,30,2.26,39,0.5215,38
Idaho,Indy,0.0833,0.0682,123,1.19,123,3.59,122,2.28,45,2.45,72,0.4582,60
Massachusetts,MAC,0.0833,0.0654,124,1.10,124,3.39,120,1.99,117,2.44,70,0.3808,99
